#           k/h    P           
   0.435901E+00   0.420585E+03
   0.444706E+00   0.404030E+03
   0.453690E+00   0.387993E+03
   0.462855E+00   0.372160E+03
   0.472206E+00   0.356542E+03
   0.481745E+00   0.341461E+03
   0.491477E+00   0.327125E+03
   0.501405E+00   0.313601E+03
   0.511534E+00   0.300756E+03
   0.521868E+00   0.288345E+03
   0.532411E+00   0.276273E+03
   0.543166E+00   0.264560E+03
   0.554139E+00   0.253321E+03
   0.565333E+00   0.242626E+03
   0.576753E+00   0.232416E+03
   0.588404E+00   0.222620E+03
   0.600291E+00   0.213149E+03
   0.612418E+00   0.204024E+03
   0.624789E+00   0.195273E+03
   0.637411E+00   0.186905E+03
   0.650288E+00   0.178894E+03
   0.663424E+00   0.171213E+03
   0.676826E+00   0.163841E+03
   0.690499E+00   0.156767E+03
   0.704448E+00   0.149979E+03
   0.718679E+00   0.143467E+03
   0.733197E+00   0.137222E+03
   0.748009E+00   0.131234E+03
   0.763119E+00   0.125493E+03
   0.778536E+00   0.119990E+03
   0.794263E+00   0.114716E+03
   0.810308E+00   0.109663E+03
   0.826677E+00   0.104822E+03
   0.843378E+00   0.100184E+03
   0.860415E+00   0.957433E+02
   0.877797E+00   0.914909E+02
   0.895529E+00   0.874196E+02
   0.913620E+00   0.835225E+02
   0.932076E+00   0.797925E+02
   0.950906E+00   0.762229E+02
   0.970115E+00   0.728070E+02
   0.989713E+00   0.695385E+02
   0.100971E+01   0.664113E+02
   0.103010E+01   0.634196E+02
   0.105091E+01   0.605578E+02
   0.107214E+01   0.578204E+02
   0.109380E+01   0.552023E+02
   0.111590E+01   0.526984E+02
   0.113844E+01   0.503041E+02
   0.116144E+01   0.480147E+02
   0.118490E+01   0.458259E+02
   0.120884E+01   0.437333E+02
   0.123326E+01   0.417329E+02
   0.125817E+01   0.398209E+02
   0.128359E+01   0.379934E+02
   0.130952E+01   0.362470E+02
   0.133597E+01   0.345781E+02
   0.136296E+01   0.329835E+02
   0.139049E+01   0.314601E+02
   0.141858E+01   0.300048E+02
   0.144724E+01   0.286147E+02
   0.147648E+01   0.272869E+02
   0.150630E+01   0.260189E+02
   0.153673E+01   0.248080E+02
   0.156778E+01   0.236518E+02
   0.159945E+01   0.225478E+02
   0.163176E+01   0.214940E+02
   0.166472E+01   0.204879E+02
   0.169835E+01   0.195276E+02
   0.173266E+01   0.186111E+02
   0.176766E+01   0.177364E+02
   0.180337E+01   0.169017E+02
   0.183980E+01   0.161052E+02
   0.187697E+01   0.153453E+02
   0.191489E+01   0.146203E+02
   0.195357E+01   0.139287E+02
   0.199304E+01   0.132689E+02
   0.203330E+01   0.126396E+02
   0.207437E+01   0.120394E+02
   0.211628E+01   0.114669E+02
   0.215903E+01   0.109211E+02
   0.220265E+01   0.104005E+02
   0.224714E+01   0.990423E+01
   0.229254E+01   0.943104E+01
   0.233885E+01   0.897993E+01
   0.238610E+01   0.854989E+01
   0.243430E+01   0.813997E+01
   0.248348E+01   0.774925E+01
   0.253365E+01   0.737687E+01
   0.258483E+01   0.702198E+01
   0.263705E+01   0.668379E+01
   0.269032E+01   0.636153E+01
   0.274466E+01   0.605447E+01
   0.280011E+01   0.576192E+01
   0.285668E+01   0.548320E+01
   0.291439E+01   0.521768E+01
   0.297326E+01   0.496476E+01
   0.303332E+01   0.472384E+01
   0.309460E+01   0.449438E+01
   0.315712E+01   0.427584E+01
   0.322090E+01   0.406771E+01
   0.328596E+01   0.386952E+01
   0.335234E+01   0.368080E+01
   0.342006E+01   0.350110E+01
   0.348916E+01   0.333001E+01
   0.355964E+01   0.316712E+01
   0.363155E+01   0.301205E+01
   0.370491E+01   0.286444E+01
   0.377976E+01   0.272393E+01
   0.385611E+01   0.259018E+01
   0.393401E+01   0.246288E+01
   0.401348E+01   0.234173E+01
   0.409456E+01   0.222644E+01
   0.417727E+01   0.211672E+01
   0.426166E+01   0.201231E+01
   0.434775E+01   0.191297E+01
   0.443558E+01   0.181845E+01
   0.452519E+01   0.172852E+01
   0.461660E+01   0.164297E+01
   0.470987E+01   0.156158E+01
   0.480501E+01   0.148416E+01
   0.490208E+01   0.141051E+01
   0.500111E+01   0.134046E+01
   0.510214E+01   0.127384E+01
   0.520521E+01   0.121047E+01
   0.531036E+01   0.115021E+01
   0.541763E+01   0.109290E+01
   0.552708E+01   0.103840E+01
   0.563873E+01   0.986582E+00
   0.575264E+01   0.937309E+00
   0.586885E+01   0.890461E+00
   0.598741E+01   0.845920E+00
   0.610836E+01   0.803575E+00
   0.623176E+01   0.763318E+00
   0.635765E+01   0.725050E+00
   0.648609E+01   0.688673E+00
   0.661711E+01   0.654096E+00
   0.675079E+01   0.621231E+00
   0.688716E+01   0.589994E+00
   0.702629E+01   0.560307E+00
   0.716823E+01   0.532093E+00
   0.731304E+01   0.505281E+00
   0.746077E+01   0.479802E+00
   0.761149E+01   0.455591E+00
   0.776525E+01   0.432586E+00
   0.792212E+01   0.410727E+00
   0.808217E+01   0.389959E+00
   0.824543E+01   0.370228E+00
   0.841200E+01   0.351483E+00
   0.858193E+01   0.333674E+00
   0.875530E+01   0.316758E+00
   0.893217E+01   0.300688E+00
   0.911261E+01   0.285424E+00
   0.929670E+01   0.270925E+00
   0.948451E+01   0.257154E+00
   0.967610E+01   0.244074E+00
   0.987158E+01   0.231652E+00
   0.100710E+02   0.219855E+00
   0.102744E+02   0.208652E+00
